nama_produk,badges,count_rating,disc_percent,harga,rating,rating_avg,nama_toko,lokasi,official,powerbadge,terjual
paperbag lebaran + dus lebaran box roll cake idul fitri hampers parcel,Power Badge,0,0,12950,0,,florenceshop2,Jakarta,False,True,4
"Parsel Flamboyant Hampers Lebaran/Ramadhan D Surabaya,Sidoarjo,Gresik",Power Merchant Pro Badge,0,0,830000,0,,Raja Sembako Surabaya,Surabaya,False,True,0
Hampers Idul Fitri isi Rendang sapi 1pack 450gr,Power Merchant Pro Badge,8,0,145000,5,5.0,Lidah Indo,Jakarta,False,True,15
Paket Hampers Lebaran 10 pempek kecil+1 Kapal Selam,Power Merchant Pro Badge,6,0,83000,5,5.0,Pempek Muno,Jakarta,False,True,30
HAMPERS LEBARAN UNTUK WANITA | Hampers Muslim Idul Fitri Hijab Murah,Power Merchant Pro Badge,0,0,44499,0,,Yuppi_id,Bodetabek,False,True,0
Parsel rRmadhan Kue Kering Lebaran Gluten free,Power Merchant Pro Badge,1,0,100000,5,5.0,Oishii Cake & Cokies,Jakarta,False,True,2
hampers lebaran murah diamond cookies,Power Merchant Pro Badge,0,0,150000,0,,rendyshopt,Bodetabek,False,True,0
Toko Handuk - Gift Hampers Lebaran Handuk Single (Custom Bordir),Power Merchant Pro Badge,0,0,140000,0,,Toko Handuk Official Store,Jakarta,False,True,17
JCO - Hampers Lebaran Mars Ramadhan Idul Fitri 2022,Power Merchant Pro Badge,0,0,1500000,0,,REL STOREE,Jakarta,False,True,0
parcel / bingkisan / hampers / kue idul fitri B2,Power Merchant Pro Badge,0,0,225000,0,,tokokalsumajaya,Surabaya,False,True,0
Dijual Kado Box Gift Hampers Paket 6 Snack Hari Raya Imlek Lebaran,Power Badge,0,0,104000,0,,NauraStore3,Kab. Sidoarjo,False,True,0
[Dijual] Hampers Mukena Sajadah Renda Full | Lebaran | Hadiah |,Power Merchant Pro Badge,0,0,227000,0,,nana125,Surabaya,False,True,0
Idul Fitri Hampers - Souvenir Lebaran Goodie Bag Nissya Set,Power Badge,0,0,95000,0,,Cherish Print,Surabaya,False,True,0
Cookies/Kue Kering Toples Sr [500G] Untuk Parsel Natal/Ramadan/Idul,Power Badge,0,0,79000,0,,Cann_store,Surabaya,False,True,0
Violet - Lebaran Hampers - Corica Pastries,Power Merchant Pro Badge,0,0,867000,0,,Corica Pastries Surabaya,Surabaya,False,True,0
